Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Flash Sort,500,5000,113,4000,normal,false
Spread Sort,500,5000,55,2000,normal,false
Counting Sort (Non-Stable),500,5000,42,19980,skewed,false
Counting Sort (Stable),500,5000,37,21980,skewed,false
Radix Sort (LSD),500,5000,190,4000,skewed,false
Bucket Sort,500,5000,152,4000,skewed,false
Flash Sort,500,5000,126,4000,skewed,false
Spread Sort,500,5000,182,2000,skewed,false
Counting Sort (Non-Stable),500,5000,52,19964,concentrated,false
Counting Sort (Stable),500,5000,42,21964,concentrated,false
Radix Sort (LSD),500,5000,186,4000,concentrated,false
Bucket Sort,500,5000,156,4000,concentrated,false
Flash Sort,500,5000,122,4000,concentrated,false
Spread Sort,500,5000,187,2000,concentrated,false
Counting Sort (Non-Stable),500,10000,81,39756,uniform,false
Counting Sort (Stable),500,10000,68,41756,uniform,false
Radix Sort (LSD),500,10000,182,4000,uniform,false
Bucket Sort,500,10000,150,4000,uniform,false
Flash Sort,500,10000,118,4000,uniform,false
Spread Sort,500,10000,55,2000,uniform,false
Counting Sort (Non-Stable),500,10000,72,37284,normal,false
Counting Sort (Stable),500,10000,66,39284,normal,false
Radix Sort (LSD),500,10000,198,4000,normal,false
Bucket Sort,500,10000,154,4000,normal,false
Flash Sort,500,10000,110,4000,normal,false
Spread Sort,500,10000,54,2000,normal,false
Counting Sort (Non-Stable),500,10000,88,39912,skewed,false
Counting Sort (Stable),500,10000,72,41912,skewed,false
Radix Sort (LSD),500,10000,182,4000,skewed,false
Bucket Sort,500,10000,162,4000,skewed,false
Flash Sort,500,10000,109,4000,skewed,false
Spread Sort,500,10000,55,2000,skewed,false
Counting Sort (Non-Stable),500,10000,86,39964,concentrated,false
Counting Sort (Stable),500,10000,72,41964,concentrated,false
Radix Sort (LSD),500,10000,182,4000,concentrated,false
Bucket Sort,500,10000,158,4000,concentrated,false
Flash Sort,500,10000,117,4000,concentrated,false
Spread Sort,500,10000,55,2000,concentrated,false
Counting Sort (Non-Stable),500,100000,424,397640,uniform,false
Counting Sort (Stable),500,100000,120,399640,uniform,false
Radix Sort (LSD),500,100000,244,4000,uniform,false
Bucket Sort,500,100000,233,4000,uniform,false
Flash Sort,500,100000,120,4000,uniform,false
Spread Sort,500,100000,52,2000,uniform,false
Counting Sort (Non-Stable),500,100000,429,400004,normal,false
Counting Sort (Stable),500,100000,120,402004,normal,false
Radix Sort (LSD),500,100000,294,4000,normal,false
Bucket Sort,500,100000,234,4000,normal,false
Flash Sort,500,100000,112,4000,normal,false
Spread Sort,500,100000,53,2000,normal,false
Counting Sort (Non-Stable),500,100000,400,374748,skewed,false
Counting Sort (Stable),500,100000,115,376748,skewed,false
Radix Sort (LSD),500,100000,237,4000,skewed,false
Bucket Sort,500,100000,191,4000,skewed,false
Flash Sort,500,100000,106,4000,skewed,false
Spread Sort,500,100000,53,2000,skewed,false
Counting Sort (Non-Stable),500,100000,435,398724,concentrated,false
Counting Sort (Stable),500,100000,120,400724,concentrated,false
Radix Sort (LSD),500,100000,330,4000,concentrated,false
Bucket Sort,500,100000,232,4000,concentrated,false
Flash Sort,500,100000,127,4000,concentrated,false
Spread Sort,500,100000,55,2000,concentrated,false
Counting Sort (Non-Stable),1000,50,5,204,uniform,false
Counting Sort (Stable),1000,50,8,4204,uniform,false
Radix Sort (LSD),1000,50,153,8000,uniform,false
Bucket Sort,1000,50,146,8000,uniform,false
Flash Sort,1000,50,188,8000,uniform,false
Spread Sort,1000,50,152,4000,uniform,false
Counting Sort (Non-Stable),1000,50,5,188,normal,false
Counting Sort (Stable),1000,50,6,4188,normal,false
Radix Sort (LSD),1000,50,141,8000,normal,false
Bucket Sort,1000,50,134,8000,normal,false
Flash Sort,1000,50,205,8000,normal,false
Spread Sort,1000,50,162,4000,normal,false
Counting Sort (Non-Stable),1000,50,5,204,skewed,false
Counting Sort (Stable),1000,50,7,4204,skewed,false
Radix Sort (LSD),1000,50,151,8000,skewed,false
Bucket Sort,1000,50,137,8000,skewed,false
Flash Sort,1000,50,184,8000,skewed,false
Spread Sort,1000,50,154,4000,skewed,false
Counting Sort (Non-Stable),1000,50,4,204,concentrated,false
Counting Sort (Stable),1000,50,7,4204,concentrated,false
Radix Sort (LSD),1000,50,139,8000,concentrated,false
Bucket Sort,1000,50,95,8000,concentrated,false
Flash Sort,1000,50,154,8000,concentrated,false
Spread Sort,1000,50,151,4000,concentrated,false
Counting Sort (Non-Stable),1000,100,6,404,uniform,false
Counting Sort (Stable),1000,100,6,4404,uniform,false
Radix Sort (LSD),1000,100,368,8000,uniform,false
Bucket Sort,1000,100,239,8000,uniform,false
Flash Sort,1000,100,224,8000,uniform,false
Spread Sort,1000,100,267,4000,uniform,false
Counting Sort (Non-Stable),1000,100,6,396,normal,false
Counting Sort (Stable),1000,100,6,4396,normal,false
Radix Sort (LSD),1000,100,140,8000,normal,false
Bucket Sort,1000,100,133,8000,normal,false
Flash Sort,1000,100,197,8000,normal,false
Spread Sort,1000,100,151,4000,normal,false
Counting Sort (Non-Stable),1000,100,6,404,skewed,false
Counting Sort (Stable),1000,100,6,4404,skewed,false
Radix Sort (LSD),1000,100,269,8000,skewed,false
Bucket Sort,1000,100,169,8000,skewed,false
Flash Sort,1000,100,227,8000,skewed,false
Spread Sort,1000,100,263,4000,skewed,false
Counting Sort (Non-Stable),1000,100,4,404,concentrated,false
Counting Sort (Stable),1000,100,7,4404,concentrated,false
Radix Sort (LSD),1000,100,253,8000,concentrated,false
Bucket Sort,1000,100,102,8000,concentrated,false
Flash Sort,1000,100,164,8000,concentrated,false
